,freq,Va,Ia
0,0.0,0.009259460502430468,0.0048900213147320785
1,4.999878574464209,0.060143889842798844,0.023581270731539365
2,9.999757148928419,0.08653018913239861,0.022287776289112417
3,14.999635723392629,0.1309917813604971,0.023444659486039278
4,19.999514297856837,0.0711895151516884,0.008335384794944143
5,24.99939287232105,0.10403934063950507,0.010788863247867415
6,29.999271446785258,0.25095985928314046,0.024819606960998872
7,34.99915002124947,0.16731462048238543,0.01224759023031575
8,39.999028595713675,0.21234764834692169,0.014307298096540503
9,44.99890717017789,0.3207447016953199,0.031473673566130594
10,49.9987857446421,561.2302907869545,4.745898999409784
11,54.99866431910631,0.206040429110574,0.015681719777109696
12,59.998542893570516,0.38220155657675614,0.024429117109320376
13,64.99842146803472,0.2090042658251204,0.011236426718388638
14,69.99830004249894,0.15161849059359575,0.009769275390020806
15,74.99817861696314,0.3188292331748216,0.013738034899548631
16,79.99805719142735,0.3064260498201261,0.011053001125211522
17,84.99793576589157,0.05746824556175325,0.00046161079493059736
18,89.99781434035577,0.12516446550530955,0.003767045824455263
19,94.99769291481998,0.04969629983505639,0.0031062821291972884
20,99.9975714892842,0.1960313493098055,0.006584809438138566
21,104.9974500637484,0.012130669969655394,0.0013107115123217388
22,109.99732863821262,0.2301528914146425,0.007642310462794321
23,114.99720721267683,0.24169794336867398,0.007382759857161035
24,119.99708578714103,0.29193502832146717,0.007848981766752394
25,124.99696436160525,0.024925454114267418,0.000572839220650934
26,129.99684293606944,0.05212480291748901,0.002179235420248125
27,134.99672151053366,0.13868745869829607,0.003331419014431072
28,139.99660008499788,0.054441672326093406,0.0007897464705111148
29,144.99647865946207,0.35372993769825756,0.008198982789843082
30,149.9963572339263,0.5465966413854864,0.01155918671624014
31,154.9962358083905,0.49785854979423105,0.009103199118250131
32,159.9961143828547,0.24200843790999038,0.003780742152329214
33,164.99599295731892,0.07022053739027735,0.0012356572430123598
34,169.99587153178314,0.17891965057585255,0.0025510525788073426
35,174.99575010624733,0.020878291614006863,0.0005766311282354918
36,179.99562868071155,0.13159658560223678,0.0016045150944098612
37,184.99550725517577,0.18563146662838453,0.0024406629775480543
38,189.99538582963996,0.2028519973495335,0.0036595129865028037
39,194.99526440410418,0.2085654683211718,0.0032405137175333955
40,199.9951429785684,0.07893505958610214,0.0016954326860827847
41,204.99502155303261,0.321493157419056,0.003994657230894936
42,209.9949001274968,0.16457722811648706,0.0027245435030732743
43,214.99477870196102,0.3924704194746261,0.004492768157854687
44,219.99465727642524,0.17396346729705153,0.0016721434677508754
45,224.99453585088943,0.18682428560983896,0.002293256670524256
46,229.99441442535365,0.37971324593193106,0.00394224673719118
47,234.99429299981787,0.47091521181103513,0.004892579400515773
48,239.99417157428206,0.4667726595266834,0.004741578613003897
49,244.99405014874628,0.8939335639207079,0.009075361037000337
50,249.9939287232105,1.5094015150118874,0.015761356390129305
51,254.9938072976747,0.5638155153032648,0.0055992214794077545
52,259.9936858721389,0.27641658504554534,0.003075377622333767
53,264.9935644466031,0.06237825298926039,0.000270497277459195
54,269.9934430210673,0.034980882388220176,0.0007268434226629434
55,274.99332159553154,0.31933868504836305,0.003058115859421338
56,279.99320016999576,0.31365745484747415,0.003010381664493858
57,284.99307874446,0.3183688459771106,0.002963494156140999
58,289.99295731892414,0.14140518015912815,0.00142153015561103
59,294.99283589338836,0.8889233626720499,0.007102140884942126
60,299.9927144678526,0.3381314648295743,0.002183628393945879
61,304.9925930423168,0.2684320382506738,0.0018484541313134471
62,309.992471616781,0.2994353129462739,0.001751116617483459
63,314.99235019124524,0.2010262432369478,0.0012226715984750942
64,319.9922287657094,0.3376725286269467,0.002445214530188
65,324.9921073401736,0.03931713139638955,0.0003471892589742683
66,329.99198591463784,0.05302815750502851,0.00043967641032646195
67,334.99186448910206,0.13971916133086973,0.0007676935013592942
68,339.9917430635663,0.08430240760133868,0.0008262165873102096
69,344.9916216380305,0.30782088797615664,0.0020437709996169494
70,349.99150021249466,0.9847974888604639,0.005640795455848911
71,354.9913787869589,0.3608060945812616,0.0016956590801746384
72,359.9912573614231,0.2859620507089145,0.001140029574192228
73,364.9911359358873,0.11363784382999977,0.0003454735568345862
74,369.99101451035153,0.20086518092344632,0.0010657590183997573
75,374.99089308481575,0.223236014112083,0.0013206146533166524
76,379.9907716592799,0.18018646639008257,0.0009508811243085863
77,384.99065023374413,0.19400461354258536,0.0008175258234999718
78,389.99052880820835,0.32510057225812156,0.001606225358944995
79,394.9904073826726,0.5520176703868391,0.0024351291189687635
80,399.9902859571368,0.7894220538253245,0.0027493657043799625
81,404.990164531601,0.5448908350555222,0.0017088824134947821
82,409.99004310606523,0.4131228788344822,0.0015389374005324882
83,414.9899216805294,0.18751606619109487,0.0004931782215605671
84,419.9898002549936,0.19824699649763303,0.00039663880234059196
85,424.98967882945783,0.45739339999075507,0.0014629546679639238
86,429.98955740392205,0.3791776768178219,0.0013493115498309843
87,434.98943597838627,0.3273828150315328,0.0009694777629165164
88,439.9893145528505,0.351747143065915,0.0007172907996484775
89,444.98919312731465,0.2908747817994799,0.0006393104364646792
90,449.98907170177887,0.3731553965377866,0.000948143028280232
91,454.9889502762431,0.48389745407462925,0.0012435137329548662
92,459.9888288507073,0.39747357639244274,0.0010356445358931502
93,464.9887074251715,0.19655486406861386,0.000557088260890343
94,469.98858599963575,0.3602981618984641,0.0006965760587973249
95,474.9884645740999,0.2804437241076602,0.0006814396151601174
96,479.9883431485641,0.27385111451785965,0.0005008421005560688
97,484.98822172302835,0.26711041019984433,0.0006847736985569397
